"Name","SI","Handles","VM","WS","PM","NPM","Path","CommandLine","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessName","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","MainWindowHandle","MainWindowTitle","Responding","Site","Container"
"ACCStd","1","1043","5226414080","18513920","80142336","52376",,,,,"66.109375",,,,,"Process",,,"6",,"False","11/20/2023 12:53:09 PM",,"7996",".",,,,"52376","52376","80142336","80142336","942528","942528","88547328","88547328","102551552","102551552","5258919936","963952640",,,"80142336","80142336","ACCStd",,"1",,"System.Diagnostics.ProcessThreadCollection","1043","5226414080","931446784","False",,,,"18513920","18513920",,,"00:00:34.6875000","00:01:06.1093750","00:00:31.4218750","0","","True",,
"ACCSvc","0","121","4372553728","5505024","2711552","8648",,,,,,,,,,"Process",,,"8",,,,,"4020",".",,,,"8648","8648","2711552","2711552","81256","81256","2785280","2785280","7413760","7413760","4380930048","85962752",,,"2711552","2711552","ACCSvc",,"0",,"System.Diagnostics.ProcessThreadCollection","121","4372553728","77586432","False",,,,"5505024","5505024",,,,,,"0","","True",,
"AggregatorHost","0","168","2203395665920","9871360","2424832","11208",,,,,,,,,,"Process",,,"8",,,,,"6720",".",,,,"11208","11208","2424832","2424832","88896","88896","3108864","3108864","12140544","12140544","2203410935808","92712960",,,"2424832","2424832","AggregatorHost",,"0",,"System.Diagnostics.ProcessThreadCollection","168","2203395665920","77443072","False",,,,"9871360","9871360",,,,,,"0","","True",,
"ApplicationFrameHost","1","418","2203701530624","38293504","26976256","26712","C:\WINDOWS\system32\ApplicationFrameHost.exe","C:\WINDOWS\system32\ApplicationFrameHost.exe -Embedding",,"Microsoft Corporation","2.96875","10.0.22621.2506 (WinBuild.160101.0800)","10.0.22621.2506","Application Frame Host","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4392","8",,"False","11/20/2023 12:55:13 PM",,"2300",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","26712","26712","26976256","26976256","446936","446936","102842368","102842368","81469440","81469440","2203748708352","430485504","True","Normal","26976256","26976256","ApplicationFrameHost","255","1",,"System.Diagnostics.ProcessThreadCollection","418","2203701530624","383307776","False",,,,"38293504","38293504",,"System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)","00:00:02","00:00:02.9687500","00:00:00.9687500","330146","Settings","True",,
"armsvc","0","338","104767488","17137664","4100096","18048",,,,,,,,,,"Process",,,"8",,,,,"4048",".",,,,"18048","18048","4100096","4100096","145656","145656","4673536","4673536","18960384","18960384","114434048","114434048",,,"4100096","4100096","armsvc",,"0",,"System.Diagnostics.ProcessThreadCollection","338","104767488","104767488","False",,,,"17137664","17137664",,,,,,"0","","True",,
"atmgr","1","957","2204034646016","64253952","76951552","57336","c:\users\esteb\appdata\local\webex\webex64\meetings_slow\atmgr.exe","""c:\users\esteb\appdata\local\webex\webex64\meetings_slow\atmgr.exe"" /module=1 /job=standby /site=allianz-agn.webex.com","System.Diagnostics.Process (WebexHost)","Cisco Webex LLC","1020.90625","4306,0400,2306,0500","4306,0400,2306,0500","Cisco Webex Service","AtMgr Module","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3748","8",,"False","11/20/2023 12:50:49 PM",,"17028",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","57336","57336","76951552","76951552","1191488","1191488","77025280","77025280","107057152","107057152","2204041007104","722784256","True","Normal","76951552","76951552","atmgr","255","1",,"System.Diagnostics.ProcessThreadCollection","957","2204034646016","716423168","False",,,,"64253952","64253952",,"System.Diagnostics.ProcessModule (atmgr.exe)","00:11:51.1406250","00:17:00.9062500","00:05:09.7656250","0","","True",,
"audiodg","0","663","2203480104960","22900736","17854464","20240",,,,,"151.34375",,,,,"Process",,,"8",,,"11/27/2023 5:17:31 AM",,"2560",".",,,,"20240","20240","17854464","17854464","128168","128168","62414848","62414848","71352320","71352320","2203483271168","165048320",,,"17854464","17854464","audiodg",,"0",,"System.Diagnostics.ProcessThreadCollection","663","2203480104960","161882112","False",,,,"22900736","22900736",,,"00:01:30.4218750","00:02:31.3437500","00:01:00.9218750","0","","True",,
"backgroundTaskHost","1","323","2480956362752","2007040","18571264","32336","C:\WINDOWS\system32\backgroundTaskHost.exe","""C:\WINDOWS\system32\backgroundTaskHost.exe"" -ServerName:App.AppXfkd8mejksk4ancwf4vtyhmkvtzn1jcbs.mca",,"Microsoft Corporation","0.125","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Background Task Host","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","6136","8",,"False","11/26/2023 12:53:01 AM",,"13116",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","32336","32336","18571264","18571264","396056","396056","18575360","18575360","51531776","51531776","2480956428288","-1534668800","True","Normal","18571264","18571264","backgroundTaskHost","255","1",,"System.Diagnostics.ProcessThreadCollection","323","2480956362752","-1534734336","False",,,,"2007040","2007040",,"System.Diagnostics.ProcessModule (backgroundTaskHost.exe)","00:00:00.0312500","00:00:00.1250000","00:00:00.0937500","0","","True",,
"backgroundTaskHost","1","317","2480955473920","2244608","18518016","32064","C:\WINDOWS\system32\backgroundTaskHost.exe","""C:\WINDOWS\system32\backgroundTaskHost.exe"" -ServerName:App.AppXfkd8mejksk4ancwf4vtyhmkvtzn1jcbs.mca",,"Microsoft Corporation","0.125","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Background Task Host","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3848","8",,"False","11/23/2023 4:12:18 PM",,"15108",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","32064","32064","18518016","18518016","394320","394320","18518016","18518016","50982912","50982912","2480955539456","-1535557632","True","Normal","18518016","18518016","backgroundTaskHost","255","1",,"System.Diagnostics.ProcessThreadCollection","317","2480955473920","-1535623168","False",,,,"2244608","2244608",,"System.Diagnostics.ProcessModule (backgroundTaskHost.exe)","00:00:00","00:00:00.1250000","00:00:00.1250000","0","","True",,
"backgroundTaskHost","1","317","2480955539456","2232320","18509824","32064","C:\WINDOWS\system32\backgroundTaskHost.exe","""C:\WINDOWS\system32\backgroundTaskHost.exe"" -ServerName:App.AppXfkd8mejksk4ancwf4vtyhmkvtzn1jcbs.mca",,"Microsoft Corporation","0.046875","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Background Task Host","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","6200","8",,"False","11/24/2023 4:10:09 AM",,"28972",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","32064","32064","18509824","18509824","394320","394320","18509824","18509824","51007488","51007488","2480955604992","-1535492096","True","Normal","18509824","18509824","backgroundTaskHost","255","1",,"System.Diagnostics.ProcessThreadCollection","317","2480955539456","-1535557632","False",,,,"2232320","2232320",,"System.Diagnostics.ProcessModule (backgroundTaskHost.exe)","00:00:00","00:00:00.0468750","00:00:00.0468750","0","","True",,
"BingSvc","1","652","239865856","55058432","28266496","38144","C:\Users\esteb\AppData\Local\Microsoft\BingSvc\BingSvc.exe","""C:\Users\esteb\AppData\Local\Microsoft\BingSvc\BingSvc.exe"" ","System.Diagnostics.Process (explorer)","Microsoft Corporation","6.28125","2.0.0.7","2.0.0.7","Microsoft Bing Service","Microsoft Bing Service","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5988","8",,"False","11/20/2023 12:51:17 PM",,"18836",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","38144","38144","28266496","28266496","398640","398640","29749248","29749248","64372736","64372736","253239296","253239296","True","Normal","28266496","28266496","BingSvc","255","1",,"System.Diagnostics.ProcessThreadCollection","652","239865856","239865856","False",,,,"55058432","55058432",,"System.Diagnostics.ProcessModule (BingSvc.exe)","00:00:03.2500000","00:00:06.2812500","00:00:03.0312500","0","","True",,
